Repository,Files_Evaluated,Avg_Precision,Avg_Recall,Avg_F1,Avg_Accuracy,Avg_Processing_Time
docling,13,0.6616879960815538,0.2692459237928183,0.35145461897668445,0.5141614137412871,91.20598483085632
dolphin,2,0.6757304081847906,0.19856962139694587,0.2984322323775377,0.2993472399602668,14.50523555278778
marker_advance,13,0.8004517604009197,0.2973143882326914,0.4034085013558949,0.21367645275990924,69.98403189732478
marker_basic,13,0.837544733801764,0.35738519065514474,0.4666584949304669,0.49015723870138656,69.68119245309096
parsr,13,0.8745702944350239,0.36863443124207895,0.4845959007334482,0.6128497017701997,20.567385490124042
unstructured,13,0.8593257875813011,0.36222299941855157,0.475700597922016,0.5036737566834433,19.480138521928055
