filename,Precision,Recall,F1,Accuracy,Processing_Time
[123doc] - File1,0.7975951903807615,0.312156862745098,0.44870349492671924,0.3431621759023894,15.28893780708313
[123doc] - File10,0.9959919839679359,0.3817204301075269,0.5519156024430872,0.6253469010175763,21.084080696105957
[123doc] - File12,0.687374749498998,0.23175675675675675,0.3466397170288024,0.48594693984764903,16.003265857696533
[123doc] - File4,1.0,1.0,1.0,0.24881414402759805,2.048121213912964
[123doc] - File3,0.969939879759519,0.7234678624813154,0.8287671232876712,0.9279475982532751,6.9136717319488525
[123doc] - File5,0.7054108216432866,0.17732997481108312,0.2834138486312399,0.688515246508977,18.750710248947144
[123doc] - File11,0.9438877755511023,0.22040243331773515,0.35735963581183616,0.7431064896481292,44.401374101638794
[123doc] - File2,0.8476953907815631,0.043608247422680414,0.08294930875576036,0.0,29.057801961898804
[123doc] - File8,0.912718204488778,0.4912751677852349,0.6387434554973821,0.0,2.460092782974243
[123doc] - File13,0.9018036072144289,0.2574370709382151,0.4005340453938585,0.6704918032786885,37.04097390174866
[123doc] - File6,0.9919839679358717,0.34591194968553457,0.5129533678756477,0.8859217008037334,26.558308839797974
[123doc] - File9,0.44288577154308617,0.05697344676463006,0.10095934216537232,0.0,9.48858642578125
[123doc] - File7,0.9739478957915831,0.4668587896253602,0.631168831168831,0.9285058375967467,24.145875215530396
