filename,Precision,Recall,F1,Accuracy,Processing_Time
[123doc] - File4,0.9847094801223242,0.9938271604938271,0.989247311827957,0.8503665373005606,3.8681912422180176
[123doc] - File3,0.36472945891783565,0.27204783258594917,0.3116438356164384,0.8579346557759626,9.314548015594482
[123doc] - File1,0.342685370741483,0.17647058823529413,0.2329700272479564,0.0,10.481369495391846
[123doc] - File12,0.9959919839679359,0.5615819209039548,0.7182080924855491,0.7974147065056156,15.300353050231934
[123doc] - File8,0.374749498997996,0.4722222222222222,0.41787709497206704,0.5144998370804823,5.201209545135498
[123doc] - File9,0.44488977955911824,0.2136669874879692,0.2886866059817945,0.0,8.484223365783691
[123doc] - File10,0.5410821643286573,0.22784810126582278,0.32066508313539194,0.5751028806584362,29.73208737373352
[123doc] - File7,0.9959919839679359,0.5040567951318459,0.6693602693602694,0.8989710009354537,30.69088363647461
[123doc] - File6,0.5230460921843687,0.1700325732899023,0.25663716814159293,0.8615640995119629,36.63711071014404
[123doc] - File5,0.7855711422845691,0.2033195020746888,0.323032550473836,0.32398568019093077,42.36557936668396
[123doc] - File11,0.9398797595190381,0.217835578262889,0.35369532428355954,0.8178584799700487,54.47304606437683
[123doc] - File2,0.9939879759519038,0.1133973479652492,0.20357069567001845,0.5287101248266297,393.8381245136261
