filename,Precision,Recall,F1,Accuracy,Processing_Time
[123doc] - File1,0.7975951903807615,0.4107327141382869,0.5422343324250681,0.0,10.05627965927124
[123doc] - File3,0.9519038076152304,0.7100149476831091,0.8133561643835616,0.7579149344419571,8.102144241333008
[123doc] - File12,0.9959919839679359,0.5615819209039548,0.7182080924855491,0.8332273786819242,13.905375957489014
[123doc] - File4,1.0,1.0,1.0,0.8163001293661061,3.199349880218506
[123doc] - File10,0.9839679358717435,0.41434599156118146,0.5831353919239904,0.605266210416425,27.68312096595764
[123doc] - File7,0.9939879759519038,0.5030425963488844,0.668013468013468,0.4612757819969949,19.467360019683838
[123doc] - File8,0.8086021505376344,0.9494949494949495,0.8734030197444832,0.0,3.3168747425079346
[123doc] - File5,0.7454909819639278,0.19294605809128632,0.3065512978986403,0.6380481068017033,32.05414843559265
[123doc] - File6,0.9859719438877755,0.3205211726384365,0.4837758112094396,0.9259905307749813,34.78494477272034
[123doc] - File11,0.969939879759519,0.22480260102183,0.36500754147812975,0.6531706415233869,59.20323324203491
[123doc] - File9,0.43286573146292584,0.2078922040423484,0.2808842652795839,0.46013482101348213,24.03684639930725
[123doc] - File2,0.9859719438877755,0.11248285322359397,0.20192899651138926,0.5441801975071199,283.86389231681824
