filename,Precision,Recall,F1,Accuracy,Processing_Time
[123doc] - File4,0.9739413680781759,0.8898809523809523,0.9300155520995333,0.9132562277580071,2.4350507259368896
[123doc] - File3,0.482,0.7626582278481012,0.5906862745098039,0.9240486827915575,21.415799617767334
[123doc] - File12,0.9715736040609138,0.8350785340314136,0.8981698732989207,0.883235763704098,32.98579406738281
[123doc] - File1,0.44759972954699123,0.8244084682440846,0.5801928133216476,0.5310202205882353,65.7898325920105
[123doc] - File8,0.44814814814814813,0.6612021857923497,0.5342163355408389,0.6800804828973843,5.714312314987183
[123doc] - File10,0.6751412429378532,0.9263565891472868,0.7810457516339869,0.7346882344808516,103.6742467880249
[123doc] - File5,0.9402985074626866,0.364613476643241,0.5254691689008043,0.5106638302514591,104.97823166847229
[123doc] - File7,0.9693509615384616,0.9061797752808989,0.9367015098722415,0.9419075925425561,124.4990119934082
[123doc] - File9,0.5121230041395624,0.9796380090497737,0.6726213592233008,0.5629477993858751,88.79194951057434
[123doc] - File13,0.9442761962447002,0.952351863164325,0.9482968369829683,0.6779778995910555,169.71456909179688
[123doc] - File6,0.6969812762705387,0.8038783605112384,0.7466230045026606,0.9261581542582333,327.88244581222534
[123doc] - File11,0.9795819154107924,0.6884181756064229,0.8085874799357946,0.8923061757602642,353.75499391555786
[123doc] - File2,0.9175592340149302,1.0,0.9570074475287745,0.6961854376181624,3781.6258294582367
