filename,Precision,Recall,F1,Accuracy,Processing_Time
[123doc] - File1,0.9571428571428572,0.9178082191780822,0.9370629370629371,0.549963068481587,18.76677918434143
[123doc] - File12,0.9622195985832349,0.7111692844677138,0.8178625188158554,0.8729178800232964,27.385443925857544
[123doc] - File10,0.9434850863422292,0.931782945736434,0.937597503900156,0.8313667649950836,60.89515209197998
[123doc] - File3,0.9382303839732888,0.8892405063291139,0.9130787977254264,0.9586855957888021,8.643031120300293
[123doc] - File4,0.8781725888324873,0.5148809523809523,0.649155722326454,0.3792544570502431,1.214064598083496
[123doc] - File5,0.9373737373737374,0.3836295990078545,0.5444411850982693,0.8445051660831697,78.89289283752441
[123doc] - File13,0.9720779220779221,0.9144777031154551,0.9423984891406989,0.8837999370871343,105.74662327766418
[123doc] - File11,0.9553837001784652,0.5486846600614964,0.697048611111111,0.847729930347247,245.09634685516357
[123doc] - File8,0.945619335347432,0.855191256830601,0.8981348637015782,0.8901981788966256,2.4609134197235107
[123doc] - File7,0.9877600979192166,0.9067415730337078,0.9455184534270651,0.9819260485651214,107.02802181243896
[123doc] - File6,0.9452968645763843,0.624504186866461,0.7521231422505308,0.9074895702271373,140.34773635864258
[123doc] - File9,0.8362919132149902,0.9592760180995475,0.8935721812434143,0.723687764472855,31.502975463867188
[123doc] - File2,0.9620853080568721,0.7984641318598988,0.8726714431934492,0.777708509596117,1903.0347428321838
