filename,Precision,Recall,F1,Accuracy,Processing_Time
[123doc] - File1,0.9979959919839679,0.5139318885448917,0.6784741144414169,0.3915891800507185,14.728001117706299
[123doc] - File10,1.0,0.4210970464135021,0.5926365795724466,0.7500370644922165,22.37046241760254
[123doc] - File12,0.9959919839679359,0.5615819209039548,0.7182080924855491,0.7452850180122907,12.8021080493927
[123doc] - File4,1.0,1.0,1.0,0.7602414833980164,2.7838988304138184
[123doc] - File3,1.0,0.7458893871449925,0.8544520547945206,0.9709435194253999,7.917095184326172
[123doc] - File5,0.751503006012024,0.19450207468879668,0.30902348578491967,0.8797151946674746,23.98576807975769
[123doc] - File8,0.985,0.9949494949494949,0.9899497487437187,0.8595679012345678,3.2354648113250732
[123doc] - File7,0.9979959919839679,0.5050709939148073,0.6707070707070708,0.9536948504302691,32.70153880119324
[123doc] - File6,0.9859719438877755,0.3205211726384365,0.4837758112094396,0.9034388238225766,36.05258107185364
[123doc] - File11,0.9779559118236473,0.2266604737575476,0.36802413273001505,0.817109696742793,53.67133831977844
[123doc] - File9,0.4969939879759519,0.2386910490856593,0.3224967490247074,0.5890474713000311,22.249080896377563
[123doc] - File2,1.0,0.11408321902149063,0.20480197003899037,0.8092873599745769,246.92276406288147
