Repository,Files_Evaluated,Avg_Precision,Avg_Recall,Avg_F1,Avg_Accuracy,Avg_Processing_Time
docling,13,0.7660442452195195,0.8149742013615453,0.7622794928731751,0.7595751155098261,398.71246673510626
dolphin,2,0.4964849461962431,0.5386052303860523,0.49606205199711745,0.47334158480177313,65.16496014595032
marker_advance,13,0.8906017061942478,0.6218744267081118,0.6879586405946319,0.5045593369738415,314.00063358820404
marker_basic,13,0.8885634910768636,0.8846546319111126,0.8707108194175476,0.7406771796427214,294.09066794468805
parsr,13,0.9562600547282158,0.915412848749007,0.9311951271341733,0.8770679463891876,301.16690336740936
unstructured,13,0.9400876456630091,0.7658346951513322,0.830820449922842,0.80378714397034,210.07805567521316
