filename,Precision,Recall,F1,Accuracy,Processing_Time
[123doc] - File1,0.875751503006012,0.45098039215686275,0.5953678474114441,0.0,11.018387079238892
[123doc] - File3,0.8921568627450981,0.13602391629297458,0.23605706874189367,0.0,0.635491132736206
[123doc] - File4,1.0,0.9753086419753086,0.9875,0.7947391116860716,3.402888298034668
[123doc] - File12,0.8835164835164835,0.4542372881355932,0.6,0.45496927315109137,10.328266859054565
[123doc] - File10,0.7755511022044088,0.3265822784810127,0.45961995249406185,0.29706477732793524,21.95565891265869
[123doc] - File8,0.9061728395061729,0.9267676767676768,0.916354556803995,0.397470398277718,5.27434778213501
[123doc] - File9,0.5150300601202404,0.24735322425409048,0.3342002600780234,0.0,7.9534876346588135
[123doc] - File11,0.7955911823647295,0.18439386901997212,0.2993966817496229,0.0,31.753332376480103
[123doc] - File5,0.7755511022044088,0.20072614107883818,0.3189122373300371,0.19360702923799422,23.909065008163452
[123doc] - File6,0.8977955911823647,0.29185667752442995,0.44051130776794484,0.5662845751308248,24.944714307785034
[123doc] - File7,0.9458917835671342,0.4787018255578093,0.6356902356902356,0.0,77.6732885837555
[123doc] - File2,0.9298597194388778,0.10608139003200731,0.19043710240098502,0.4449782578201711,303.3543858528137
