Repository,Files_Evaluated,Overall_Score_Mean,Overall_Score_Std,Overall_Score_Min,Overall_Score_Max,Content_Similarity_Mean,Structure_Accuracy_Mean,Table_Quality_Mean,Formatting_Preservation_Mean,Best_Performing_Metric,Worst_Performing_Metric,Consistency_Score
docling,13,0.6051754201724348,0.11636877287714202,0.47063588327222494,0.833592773493472,0.5796689396073902,0.8215919742387864,0.6275563360176447,0.543734251614294,List_Accuracy,ROUGE_Score,0.883631227122858
dolphin,2,0.542927837592523,0.016000324423625978,0.5316138996913924,0.5542417754936537,0.2799869149028326,0.75,0.7507936507936508,0.75,Section_Order,ROUGE_Score,0.983999675576374
marker_advance,13,0.6377929504015102,0.11213340376384172,0.504251215520557,0.8903773485502913,0.4132394044395404,0.893764752215914,0.6628102753126183,0.7445981241443603,List_Accuracy,ROUGE_Score,0.8878665962361583
marker_basic,13,0.6826091507456782,0.11196962841450439,0.49351112477542686,0.8556910535917523,0.6186838392187934,0.7147962120077728,0.6477016764746596,0.9972295990712919,List_Accuracy,ROUGE_Score,0.8880303715854956
parsr,13,0.7060824090485748,0.1686559307134308,0.3205516781440084,0.9953706842576728,0.7277780186821646,0.7121149868851878,0.5806875233167106,1.5287979893360935,Bold_Accuracy,ROUGE_Score,0.8313440692865692
unstructured,13,0.5367207493731981,0.1204298959751517,0.39230296667129294,0.8645202543741344,0.6480581628125607,0.6280205840875894,0.4358974358974359,0.5435404463357429,Table_Format,ROUGE_Score,0.8795701040248483
