Repository,Files_Evaluated,Overall_Score_Mean,Overall_Score_Std,Overall_Score_Min,Overall_Score_Max,Content_Similarity_Mean,Structure_Accuracy_Mean,Table_Quality_Mean,Formatting_Preservation_Mean,Best_Performing_Metric,Worst_Performing_Metric,Consistency_Score
docling,13,0.691243654778422,0.11728199097262834,0.5448842874543239,0.9233418328429771,0.7872487162191035,0.8215919742387864,0.6275563360176447,0.543734251614294,List_Accuracy,Italic_Accuracy,0.8827180090273716
marker_advance,13,0.8037341175279118,0.09093589066677488,0.6275692089026714,0.9190526315789473,0.772803983565545,0.893764752215914,0.6628102753126183,0.7445981241443603,List_Accuracy,Table_Format,0.9090641093332251
marker_basic,13,0.779712708444564,0.08650444220695372,0.6062548709740597,0.9146525679758309,0.8931188514483498,0.7147962120077728,0.6477016764746596,0.9972295990712919,List_Accuracy,Header_Accuracy,0.9134955577930463
parsr,13,0.7992310526565081,0.1268274284667601,0.5457716701902748,1.0,0.9534845792669326,0.7121149868851878,0.5806875233167106,1.5287979893360935,Bold_Accuracy,Header_Accuracy,0.8731725715332399
unstructured,13,0.6320582129777181,0.09686782937949327,0.4826379429827705,0.847411003236246,0.9540508769513529,0.6280205840875894,0.4358974358974359,0.5435404463357429,Table_Format,Header_Accuracy,0.9031321706205068
